link,question,comment_data
https://www.quora.com/How-do-I-find-out-how-to-get-help-with-my-expensive-medication-I-cant-afford-to-pay-the-high-costs,How do I find out how to get help with my expensive medication I cant afford to pay the high costs,Depending on why you are taking the medication there could be some great assistance plans available. What I mean; if the specific medication is being prescribed for a specific medical condition that a limited number of people have. And only that medication really treats the symptoms or can stop the chronic condition from worsening. Then what often can be found by first asking your Dr. and also doing some research on the internet. Is there are companies; organizations; foundations that offer copay assistance. Literally what they do is pay for the medication in full. Normally it has to be renewed     go online and search for help paying for xxxx where xxxx is the medication name You will probably be surprised by what how simple it is to apply; but don’t start this process unless you can find recent tax returns and supporting documents. IMO the manufacturers and distributors know that most of their customers have Rx insurance so they can get good publicity by offering substantial discounts. A between job friend was able to get a $50;000/year list price med for about $50 a month several years ago. If you are fortunate you might get a similar deal - so go ahead. Good luck.
https://www.quora.com/Are-there-any-programs-that-help-people-afford-their-prescriptions,Are there any programs that help people afford their prescriptions,There are many in the U.S. First; check GoodRx app/website. Ask a pharmacist for other ideas. Check Amazon’s prices for prescription items. If the prescription is a very expensive brand name; the manufacturer will likely help you — not directly; as that would violate Medicare rules; but through a subsidiary corporation that they support. It may take several calls to the manufacturer to find it; but there is almost always one out there. And; if you are Medicare eligible; there are Medicare Advantage plans and Medicare part D. Good luck!Yes there are many ways to get help paying for your prescriptions. Besides what was mentioned in the other excellent answers to your question; there are some other ways. There are some mail order pharmacies. I'm not referring to the ones owned by the large insurance companies like Optum. Mark Cuban opened one that offers the major generic drugs at reduced prices. He charges less to fill a script and has a smaller markup than the national pharmacy chains. The success of his new venture means he will be carrying moe drugs. There is a mail order pharmacy in Texas that also sells drugs with a diff 
https://www.quora.com/How-do-you-pay-for-medicines-if-you-dont-have-money,How do you pay for medicines if you dont have money,Get a job; or get a better job; or get a second job. When I was extremely deep in debt; I actually had three jobs. One in the morning; one in the evening; and one on the weekends. And it sucked. It was horrible. But I paid my bills. And as soon as I paid them; I quit two of those jobs. And most importantly; I learned to not be stupid; and get my dumb butt into debt again. That’s actually more important than figuring out how to pay your debts. Because the only thing that’s about twenty times worse than going through a hard and difficult time; is not learning anything; and having to go through it aga          One man who was deaf and unable to speak walked through the neighborhood with a big jar filled with pocketchange…just coins…knocked on the door and gave me a note his wife needed heart meds and was in the “donut section” of medicare; he was shocked when I gave him several dollars and had tears rolling down. It is difficult now to come up with real money as I just use credit cards that have autopay from the bank. But that is one way. The other way is something I used; one Rx was $399 a month so I called the pharmaceutical company and am getting it direct shipment for $99. When I still worked as 
https://www.quora.com/How-can-I-manage-the-cost-of-prescription-drugs-especially-if-I-dont-have-insurance-coverage,How can I manage the cost of prescription drugs especially if I dont have insurance coverage,Because we let them. Read that again. Because WE let them. Medicare Part D specifically PROHIBITS the negotiation of drug prices. (Some Big Pharma lobbyist; somewhere; broke out the champagne and got a huge bonus for that one.) Just about every other country in the world; where universal health care exists; negotiates their drug costs. Those countries know that saying that the system pays only X dollars for Y drug means that effectively; that drug won’t go anyone in that country; unless Big Pharma plays ball.                                     If you are in the United States there are a variety of discount programs. One which has gotten a lot of press lately was started by famous billionaire Mark Cuban. Many people with health insurance use those programs because they find the prescriptions cost less using thoseprograms than using their health insurance. Here is a lsit of some of them— Here is another list—            
https://www.quora.com/Where-do-people-without-insurance-or-the-money-to-afford-prescriptions-get-their-medication-from,Where do people without insurance or the money to afford prescriptions get their medication from,Your question has several parts; and they are not necessarily connected. 1. If you want to buy a medication and don’t have insurance; you can pay for it out of pocket…cash; check; health savings account card or credit card. 2. If your medication is available over the counter; you can just buy it. 3. If your medication is available by prescription only; you mus...Because; in the United States; it’s not really about healthcare. It’s about profit. There are so many middle men getting rich off of the sick. In the United States; there’s seems to be an attitude that only some people deserve healthcare. Poor people die unnecessarily. They can’t afford to get help when their illness is in the treatable stage. They can’t afford treatments because of copays and deductibles. There is a large portion of the population that are really ok with this. It is sad and disheartening. They are so concerned that someone they deem unworthy might get the help they need. “How  
https://www.quora.com/Im-having-trouble-affording-my-prescription-medication-What-are-some-ways-that-I-can-get-help,Im having trouble affording my prescription medication What are some ways that I can get help,Start with what’s not so obvious to you. A doctor (or “provider”) ordered the treatment. It has become way too common for docs to ordered the absolute latest treatment; with the presumption that it is also the best. With malpractice attorneys outnumbering doctors; if a treatment is 1% less effective (in a trial done by the drug company); the chance of it being ordered is low. Drug companies want the return on their investment to be as large as possible. Or larger. They largely spend their advertising money to market their drugs directly to consumers (that’s you); not to doctors. Put it all togeth           This happened to me; post retirement; pre Medicare; with an expensive medical insurance plan and poor Rx. The medicine was about $50;000 / year; so I went online and searched for patient assistance program medicine name I contacted the company; found out that all I needed was a copy of last year’s tax return and 1099s; submitted them and an application form and rapidly received free monthly bottles. Good luck.
https://www.quora.com/How-do-people-get-prescribed-medicine-when-they-dont-have-insurance-and-can-t-afford-their-prescriptions-at-the-pharmacy-counter,How do people get prescribed medicine when they dont have insurance and can t afford their prescriptions at the pharmacy counter,Figuring out how to pay for your medications is daunting. Ask your doctor if they can prescribe a less expensive medication and request a prescription for a generic medication. You can contact the drug manufacturer and ask about patient assistance programs which may provide low-cost medication to eligible patients. They may also offer coupons on their websites or through social media. Utilize coupon websites; and check out if you can save money by using a mail-order pharmacy.Your question has several parts; and they are not necessarily connected. 1. If you want to buy a medication and don’t have insurance; you can pay for it out of pocket…cash; check; health savings account card or credit card. 2. If your medication is available over the counter; you can just buy it. 3. If your medication is available by prescription only; you mus...
https://www.quora.com/Are-there-any-ways-to-get-cheaper-medication,Are there any ways to get cheaper medication,This happened to me; post retirement; pre Medicare; with an expensive medical insurance plan and poor Rx. The medicine was about $50;000 / year; so I went online and searched for patient assistance program medicine name I contacted the company; found out that all I needed was a copy of last year’s tax return and 1099s; submitted them and an application form and rapidly received free monthly bottles. Good luck.Yes; there are several ways to potentially reduce the cost of medication:Generic Brands: Opt for generic versions of medications as they are often less expensive than their brand-name counterparts but contain the same active ingredients.Discount Programs: Some pharmacies offer discount programs or loyalty cards that can significantly reduce the cost of medications.Online Pharmacies: Consider reputable online pharmacies that may offer lower prices or discounts on medications.Prescription Assistance Programs: Various pharmaceutical companies and non-profit organization provide programs to assist 
https://www.quora.com/What-are-some-reliable-methods-or-resources-to-find-medication-savings-and-reduce-the-costs-of-prescription-drugs,What are some reliable methods or resources to find medication savings and reduce the costs of prescription drugs,"Medication adherence is a huge problem - but the profit margins of the pharma industry are largely to blame. They consistently rank as one of the highest profit industries in U.S. The #1 reason for non-adherence to drug therapies? Cost. The counter is - Pharma needs big R&D budgets for the next ""blockbuster"" drug - but blockbuster for the Pharma industry isn't always a top clinical priority - and t          Finding medication savings and reducing the costs of prescription drugs can be challenging; but there are several reliable methods and resources that can help:  "
https://www.quora.com/How-can-the-US-lower-the-cost-of-prescription-medicines,How can the US lower the cost of prescription medicines,Give a child a hammer and it tries to hit everything with it. Tell the government you it can control prices or quantities and it tries to do so. Often making the original problem worse. Price caps cause in drug shortages. Do we really want more drug shortages? Hell; there's a saline shortage! No! We want LOTS of drugs. At FAIR prices. The high costs are a direct result of the FDA. About 80% of the re         First thing: 90% of drugs dispensed in the US are generics; it’s the still on patent medication that rapes us. Having said that; prescription drugs represent < 10% of health care costs in this country but often it is what you pull out your wallet for. Regardless; I sent to my congressman an idea to put into law a provision that takes equally developed countries from Africa; Asia; Europe; Australia with North and South America; say 2 from each (excluding Australia) and state that a medication cannot cost in the US more than 20% higher than the average cost of the same medication in the countries  
