Link,Text,Type
https://www.facebook.com/telescopehealth/,"Making Healthcare Costs More Transparent@TelescopeHealth
How disruptive is disruptive innovation in healthcare? Not disruptive enough. Read more in Telescope Health's new blog post.
",video_caption
https://www.facebook.com/KarmaYungMarley/?locale=de_DE,,video_caption
https://www.facebook.com/FoxBusiness/videos/tv-drug-ads-to-include-price/390506054873249/,"TV pitches for prescription drugs will soon be required to include the price, giving consumers more information upfront as they make medication choices at a time when new drugs can carry anxiety-inducing prices. https://fxn.ws/2PTcWHv
If you get universal health care your life may not be worth the cost of the drug that would cure you, so you would not get it.  Two months wait following cancer diagnosis.  Think before you vote.
Drugs are bad mmmmmmkaaaayyyy
",video_caption
https://m.facebook.com/story.php/?story_fbid=800517595411721&id=100063604629224," Medicare drug price negotiations may have a muted impact on drugmakers in the near term. Analysts suggest that other factors like competition and patent expirations may already affect revenue and profits. Some drugs on the list are not significant contributors to their company's business. Negotiated prices won't go into effect until January 2026. Lawsuits filed by drugmakers may prevent negotiated prices from being implemented. Negotiations may have a more significant impact in future rounds, especially for biologic medications. The long-term impact of negotiations could influence drug development strategies.#Medicare #DrugPrices #Negotiations #Pharmaceuticals #Competition #PatentExpirations #BiologicMedications
",video_caption
https://www.facebook.com/LowerDrugPricesIllinois/,"This is a big, big win for consumers who use Medicare.
We are so proud to work with someone as hardworking as State Rep. Nabeela Syed and committed advocates at  AARP Illinois and Protect Our Care-IL on drug price reforms that will reign in abusive practices.
The Generic Drug Pricing Fairness Act is headed to the Governor’s desk!
An accurate, heartbreaking depiction of how the high-cost of prescription drugs impacts families who would do anything so that their loved ones get the medicine they need.
This bill protects Illinois consumers from skyrocketing prescription costs by banning p… See more
",video_caption
https://www.facebook.com/AACPharmacy/videos/can-drug-costs-be-contained-explore-how-pharmacists-can-play-a-role-in-containin/454843928628023/,"Can drug costs be contained? Explore: How pharmacists can play a role in containing #DrugPrices;What an AACP delegation learned about #Cuba’s healthcare infrastructure after a visit to the country; …
See more
",video_caption
https://m.facebook.com/story.php/?story_fbid=790823669585695&id=100059742060475,"Criminals run the US
Mark Cuban will be far more effective in getting drug prices in the U.S. slashed than Congress ever will be.
Until the whole world get to know how good and generous he is I won't stop saying this cause my life has taken another greatly shape financially just because of little investment I did on your investment company Sir.  Dominic Andrew Rex
I keep on smiling this is wonderful and beyond my expectations. I never knew that this little Invest I did will change my entire life I’m so happy today because of you  Dominic Andrew Rex
Unsuccessful people make their decisions based on their current situations. Successful people make their decisions based on where they want to be, I choose to achieve a lot and Luis has helped me thank you for all you do for me  Nathaniel Luis
People who give up easily are the people who lose in life, my first experience happens to be a failure but I never gave up because I knew it was going to work out for me to keep trying. I’m smiling today just getting involved with  Jennifer Lucas
I will be greatful if others wins from  this amazing platform which earns quick returns and stop loss as other companies, I'm privilege to say this.Thank you  Eduardo for being the real you  .  Eduardo B. Rowland
I'll never forget you in my life, you changed my life financially may God grant you all your heart desires Austin Benjamin
You are a blessing Mr MAVERICK  and I thank God for that in the life of my family, and I will not stop to testify about your goodness, you have changed people's life and you keep making good names your truly a life changer. Mr Maverick Spencer
Normally don't do this, I don't praise people for any reason truth be told good works deserves appreciation, l won't deny the fact that I'm super jealous of your hard work and skill.  I'm proud of you and what you've done in my life , we need more peop… See more
I keep on smiling! This is wonderful and beyond my expectation. I never knew that this little investment I did will change my entire life, I’m so happy today because of you ma. May God bless you,    Mrs Jennifer Lucas
The push to cut drug prices is one of those rare hot-button issues that unites the two major political parties.
",video_caption
https://m.facebook.com/photo/?fbid=783921503773775&set=a.229531195879478,"A recent study reveals that prescription drug prices are much higher in the U.S. than in other developed countries.The President's #InflationReductionAct is our commitment to tackle this issue head-on.Learn more here https://bit.ly/3w1ayYv
It will never change in Merica.
",video_caption
https://www.facebook.com/OregonDCBS/videos/participate-in-the-state-of-oregon-hearing-on-prescription-drug-prices/3359465244269696/,"There are three ways to get involved with the annual State of Oregon hearing on prescription drug pr…
See more
",video_caption
https://www.facebook.com/RBReich/posts/why-are-drug-prices-so-high-in-the-united-states-compared-to-other-industrialize/2074109705934948/,"It’s outrageous that drug companies spend huge amounts of money on Oscar winning advertising, and then charge a fortune for life saving medications.
Debbie W, you have to have Medicare in order to get Humana Medicare Advantage, check it out and check and see what it would cost you if you got your medication through Humana Medicare Advantage. It helps with my medication, I'm not on diabetic medicati… See more
FWIW, EpiPen isn't a drug, but i'll let it slide.Epinephrine is the drug, and you can get it dirt cheap.
Yup...I despise BIG PHARMA and they can keep their diabetic drugs their cancer drugs ... I'll die of natural causes naturally thank you very much.
It’s not all greedy big pharma.  Look at our tort structure and the ambulance chasers advertising the latest class action as soon as a new drug is approved
We got my husbands advair diskus for $80.00 from Canadadrugs.com. It is a different label/brand name but had same ingredients as advair. That was back in January though. Also, we have to use GoodRx or our local pharmacy will use their discount codes if… See more
I worked hard my entire life. Now at 65 and trying to survive on Social Security disability checks. Then many of my medications are financially out of reach for me. So I do with out. I don't like being on disability I much rather work if I could but it… See more
Regardless of how people complain about high cost of drugs, I am thankful that US companies do research and develop new medications. Without my eye drops for glaucoma, I would be blind by now. I am willing to pay anything to keep my eye sight. Please s… See more
It's  so sad that we don't matter any more. Insurance companies, drug companies, n Dr's that work for companies that own hospitals n small town clinics. We don't  really matter !! It's all about the money. You might see a general family practitioner bu… See more
Most of that crap is poison, so it’s not an altogether bad thing.  Not wishing I’ll health on anyone, but I hope this ridiculous situation will make people look for better solutions than the ones Big Pharma peddles.  It’s not that hard.  Really.
So I just searched a number of theseDrugs on GoodRx. These numbers do not reflect actual costs to patients.  Medicare patients don’t pay anywhere near this and people with insurance don’t either.  His numbers are likely retail supplier pricing which no one pays.
Matt, I think the EpiPen price is a crime. I realize the heroin epidemic is frightening, but it is a even worse that the people addicted can get multiple doses of Narcan without paying a dime.
The solution to Big Pharma is right before us, like credit unions and mutual insurance companies.  We need to create a not-for-profit pharmaceutical manufacturing company to produce and sell all generic drugs at cost.  Building one in the middle of t… See more
This is why a free market system does not work for drugs.  Too often there is only one drug that will treat a particular condition so there is no competition.  when it come to health or life and death, drugs need to be affordable to all, they should be… See more
I'm from the US, been living and working in Belgium since 1989 and have seen first hand the benefits of the excellent health care system.  Here life-saving drugs like Epipen and insulin are FREE under the required national health insurance.  Single pay… See more
As a taxpayer, I think we need a one payer system and ALL pharmaceutical companies not for profit. They should be paid for research and go about business for the health of all that inhabit the old earth. No more fat dollars to CEOs or the political ele… See more
What’s also crazy is that Kaiser changed a lot of people’s prescriptions. They now do business with GlaxoSmithKline and don’t carry the same medications they used to. They switched my inhaler without even telling me and because I had an adverse reactio… See more
This is terrible it's terrible I can't understand why the drugs are so high you know it doesn't cost that much to make the drug. One of my dearest friends died because she couldn't afford her medication, she didn't want to ask if there were any alterna… See more
My daughter’s med for her Crohn’s is $28,000 every 6 weeks. She has to always have insurance and it worries me to no end as she needs this med to live
My thoughts? Stop running health care as a for-profit business. Create price caps for Big Pharma. Sure they need some profit for research and development, however, not the gi-normous percentages charged/ made especially in the USA!
The full price of Abilify in Australia is something like $130.Glad I pay only $6.40 for my special needs son.
? Zoloft $100.00Celexa $6.00Same drug different price. … See more
I forgot to update the pharmacy that my insurance had changed, and I went to pick up my heartburn medication and the pharmacist without thinking anything was abnormal said ""Ok, your total is $180.""  $180 for 30 days of omeprazole that can be bought ove… See more
I don't know about a lot if these drugs, but I know you can buy Omeprazole (Nexium)  over the counter in Mexico, for about $20 for a years supply. I buy decoflanac (for arthritis) in Mexico for about $3.00 for a month supply..over the counter. It's ver… See more
It's not just Cananda vs. US.  My daughter's maintenance drug was kicked off her insurance company's formula (a generic, no less!).  Cheapest drug store price, with manufacturer's discount: $60/mo.  Price at Costco: $30/two months.
Imagine if they didn’t do lobbying and didn’t waste money on advertisements how much cheaper drugs would be.
Yes. I take many medications plus Synthroid & can not take the cheaper one. It would be nice to pay the $35.00. Our medication costs are very troublesome.
While I do agree that we need to be in control of our lifestyles and health habits, Big Pharma should not profit from peoples ( sometimes self- induced) misery. That’s just wrong and immoral 
And I know firsthand that insulin has recently at least doubled-my husband is diabetic and I order his Rxs for him! This continues and we won't be able to even pay for that, let alone his other 6-8 meds!
I recently discovered my blood pressure medicine had been recalled.  Pharmacy didn’t notify me.  Turns out the pills were made in China! Wonder if there’s a way to find out where our medications are made.
This is insane. My Trulicity capped in July. I have to get samples from doctor till first of the year. My copay is $248 or with the Good RX card it is over $700. INSANE, CRAZY, SHAMEFUL!!!!!!
I am frankly in a panic going to Medicare in Oct. because even though I am not destitute I cannot afford my Diabetic meds on Medicare. Frankly the only reason I've been able to afford them currently is with manufacture's coupons. Can't even afford most… See more
Drug plans are also covering less.  We just recently cancelled our drug plan.  The plan cost more monthly than it was saving us.  I recently got a prescription for migraine medicine, Zomig, 30 pills, pharmacy quote was $900, which is $30 per pill.  Che… See more
Until we have term limits, stop politicians from profiting from lobbyists and insider knowledge to line their own pockets, tv media profiting from advertisement playing both sides it will never end or reduce the Heath care costs in this country.
I really love it  when I have a 11am appointment with my child's specialist, but I have to wait until she sees two pharma reps who brought sandwich and cookie trays to talk to them about her drugs she is selling. What should have been 15 minutes at bes… See more
I heard it costs about a billion dollars to create a drug and bring it to market. At those costs they kind of have to price it so they get their money back. When generics become available, the company can't make money on it anymore.
The Pharma Industrial Complex deceives the general public by hammering that R&D is very expensive..The fact is Pharmaceutical R&D is taxed deductible..The American tax payers foot the bill for development and are stuck paying for the overpriced meds th… See more
This is why homeopathic therapies are on the rise. We know we can no longer trust the big pharmas to 1 make affordable medicine. 2 make stuff that does not have dangerous side effects. Do they not realize what Henry Ford did? If you make it affordable you can sell more.
There are generics available for Crestor, Abilify, Nexium, Synthroid and Celebrex. All are much cheaper than the brand prices listed in the meme. There is also a generic alternative to the Epipen that is about half the price.
Retirees' spend a large portion of their income on medicines. When I retired at the age of 62, I was shocked   to see how much of my income was going towards medications. Thank goodness my husband was working to support us. I feel for those that are si… See more
Drug prices in the US are ridiculously high.  It’s especially difficult for seniors who tend to need more medications as they age and for those suffering from diseases which need highly specialized drugs  This needs to be changed.
I was in Spain for three months. I went to the pharmacy to buy some ibuprofen, they sell it in 600mg. (US sells it in 200mg.) in a 60 pack for what equaled to $2.20. 
Rosuvastatin 10 mg (Crestor ) 90 tab $26.53 canadian dollars ( Cost $14.54 canadian dollar Fee 11.99 (dispansing fee)I think your politicians played enough with your life and keep you in a short leash.It is about time that you people stand up now for w… See more
I am a nurse and recently had a patient come in with a severe stroke because their insurance wouldn't cover eliquis and the patient was allergic to Coumadin. Eliquis is expensive.  Something needs to be done about this!!!!
Again Robert you asked me for my thoughts. I do not think you understand this word.I think that pharmaceutical CEOs should be crucified on the utility poles leading into and out of every major metropolitan area.… See more
In a free market society drugstores should be allowed to import freely medicines from all over the world so the prices could fall down.The FDA only serves the interest of the greedy  pharma industries, so do  the U.S. lawmakers. If not so, somebody ple… See more
Set national drug prices that cannot be raised without definitive proof the increase is necessary.  Cut current drug prices to cost plus 5% profit.  And mandate all pharmaceutical companies go back to being non profit and sell drugs at cost plus 5%.  R… See more
The drug companies need to stop lobbying and stop advertising. They would make that same amount of profit.
I was prescribed lidocaine pain patches after back surgery. With severe drug allergies, this was the only way to cope and my copay was $15. One day they shot up to $538. No warning, nothing. So, I had to stop using them and now use Aspercreme, a not so… See more
CONgress is the one getting this money. Doctors being paid to hand out prescriptions is wrong too. In 6 years I went from no meds each day...to 17 pills and an injection that costs $1100 every 90 days.
Why are drug prices so high in the United States compared to other industrialized nations? Because Big Pharma has the political power to write the rules of how we price drugs. Last year alone, the lobbying tab came to $225 million, according to the Center for Responsive Politics. The result is big profits for pharmaceutical executives and their biggest investors, and higher drug prices you and me. Your thoughts?
",video_caption
