title,raised_goal,description,comment
Medication Help,"$2,355 raised of $3,000 goal","My name is Teri.
I have fallen through the cracks of insurance, copay assistance, and medication manufacturer assistance. I live with clinical depression and this past summer went through hell trying to change to a medication that was more affordable, despite the fact that the med I was taking had kept me stable for 8 years.

Myself and my Nurse Practitioner have appealed and appealed and appealed. The insurance company simply will not cover any medication at a copay that is affordable and sustainable. I have exhausted every resource that there is--special programs that offer copay assistance, manufacturer assistance, and everything in between.




Read more",[]
Mental health treatment and drug & alcohol rehab,"$3,190 raised of $13,000 goal","Hi, my name is Rachel. I am fundraising for my brother who suffers from addiction and is currently in rehab. We are struggling to afford the cost of treatment and are asking you for help! After a suicide attempt, my brother sought help and is on the path to recovery for both addiction and suicidal ideations. Funds will be money deposited to his bank account to aid in the cost of medication, treatment, and housing during this process.",[]
Prescription Assistance and Neurosurgeon cost,"$3,555 raised of $5,000 goal","Hi, my name is Kimberly Durden.

I am Armani Milton’s mother. On October 29, 2023 my daughter was involved in a bad car accident and acquired brain damage. Unfortunately she didn’t have medical insurance when the accident occurred.

The hospital has since then applied for Medicaid but her approval is still currently pending.

Armani was discharged from rehabilitation on 12/26/2023, but she has several prescriptions she takes daily. This medication is costly with no insurance. Even with the GoodRX discount her prescriptions cost approximately $250.00 a month.


Read more",[]
Prescription cost and travel expenses,$360 raised,"Hi everyone I’m 39 years old my name Tara Jean Romanic. I’m currently battle with myasthenia Gravis it’s uncureable auto immune disease. Been battling it for couple of years now. But recently I was taken by ambulance to hospital I was in severe pain all over my body. Spent 11 days total at hospital. Five those days spent icu because my body went into severe crisis I had have five days Ivig. But that not what sent me to the hospital. After multiple scans and bloodwork the dr found that I have 3 spots in my spine full of infection. I’ll explain what lead infection. Over years I have had multiple fractures and herniated disc. Seen multiple surgeons that said couldn’t fix it do to me having bilateral sponglitis of the spine. So did years of pain management multiple spinal injections monthly hide the pain. Well recently caught up to me. One fracture has dis lodge a herniated disc started rubbing causing severe infection in my spine. I was sent home with iv pick line to do daily iv antibiotics for 6-8 weeks. My parents have been picking up every prescription cost n travel expenses for me because im unable support myself at this time I have no income. Reaching out for support and help from family and friends to lift some this burden off expenses off my parents because getting tight.  This money I raise be so my parents can get me to all my appointments and prescriptions.
Read more",[]
"Medical expenses, and prescription cost","$1,910 raised of $20,000 goal","Hello.
My name is Rebecca and I am creating this go fund me, for a well know friend to many of us. He is an Amazing friend, sarcastic, funny and just a very nice guy. He has been having medical issues for years now but it is getting much worse. He recently had to have a heart monitor put in, he has clots in his lungs that need to be dissolved and was told that he would possibly need a heart transplant which could cost well over a million dollars. He used all of his money for his last visit to the hospital which he was just released a couple of days ago. His prescriptions alone cost around $3600 a month and as you know he has missed and will miss quite a bit of work. Anything that you can pitch in to help him out would be greatly appreciated. He did not know how to create this so I offered to do it for him. I'm sure he will be grateful for anything that is raised to help him out.

Thank you for your time in reading this, and even if you are unable to help please share incase someone else can. <3",[]
Sarah’s prescription Cost,$750 raised of $800 goal,Hi I’m trying to help my daughter Sarah raise money to help pay for medicine that could help her regain her mobility. Sarah has MS and in the last month or so has lost her strength and ability to walk. She had a zoom appointment with a neurologist and he prescribed a medication that could help her with her mobility. The downfall is the cost is close to $700. We know times are extremely difficult and we don’t like asking for help but we desperately need her to be able to regain mobility. Any amount is helpful. Thank you and God bless,[]
With prescription cost,"$4,380 raised of $4,000 goal","My name is Erin and I have been diagnosed with a rare type of cancer called Multiple Myeloma. I have been informed that with insurance one of the Chemo meds I will need will cost $4000 a month after insurance. I was not planning on making any of this public nor is it easy for me to ask for help, but I guess it is time. Thank you so much in advance for making things a little easier.",[]
Prescription cost and travel expenses,$360 raised,"Hi everyone I’m 39 years old my name Tara Jean Romanic. I’m currently battle with myasthenia Gravis it’s uncureable auto immune disease. Been battling it for couple of years now. But recently I was taken by ambulance to hospital I was in severe pain all over my body. Spent 11 days total at hospital. Five those days spent icu because my body went into severe crisis I had have five days Ivig. But that not what sent me to the hospital. After multiple scans and bloodwork the dr found that I have 3 spots in my spine full of infection. I’ll explain what lead infection. Over years I have had multiple fractures and herniated disc. Seen multiple surgeons that said couldn’t fix it do to me having bilateral sponglitis of the spine. So did years of pain management multiple spinal injections monthly hide the pain. Well recently caught up to me. One fracture has dis lodge a herniated disc started rubbing causing severe infection in my spine. I was sent home with iv pick line to do daily iv antibiotics for 6-8 weeks. My parents have been picking up every prescription cost n travel expenses for me because im unable support myself at this time I have no income. Reaching out for support and help from family and friends to lift some this burden off expenses off my parents because getting tight.  This money I raise be so my parents can get me to all my appointments and prescriptions.
Read more",[]
prescription costs,"$1,675 raised","Hi, guys....this is a complete embarrassment for me to ask...but recently, I have been diagnosed with a DVT, a blood clot in my left leg due to a boot I did not have to wear. I have been prescribed xarelto, and once I learned about Xarelto's costs, I begged my doctor to either get me off of it or help me with samplers, to no avail.

I am a musician and an educator, and I have undertaken a big hit over the summer months due to vacation drop-offs, lost hours at my job, and now being stuck at home due to COVID. It has been challenging to keep my bills paid. Now that I am presented with this, I am now forced with having to start a fund-raiser to fund a two-month supply of Xarelto until my student schedule gets back in order or my job offers me more hours.

If I stop using Xarelto during this period, I risk a pulmonary embolism or a stroke.

If you can help me out, I will greatly appreciate it.",[]
Sarah’s prescription Cost,$750 raised of $800 goal,Hi I’m trying to help my daughter Sarah raise money to help pay for medicine that could help her regain her mobility. Sarah has MS and in the last month or so has lost her strength and ability to walk. She had a zoom appointment with a neurologist and he prescribed a medication that could help her with her mobility. The downfall is the cost is close to $700. We know times are extremely difficult and we don’t like asking for help but we desperately need her to be able to regain mobility. Any amount is helpful. Thank you and God bless,[]
With prescription cost,"$4,380 raised of $4,000 goal","My name is Erin and I have been diagnosed with a rare type of cancer called Multiple Myeloma. I have been informed that with insurance one of the Chemo meds I will need will cost $4000 a month after insurance. I was not planning on making any of this public nor is it easy for me to ask for help, but I guess it is time. Thank you so much in advance for making things a little easier.",[]
Diabetes Rx costs,"$1,294 raised of $1,400 goal","Hi, my name is Michael. I’ve honestly never reached out and done anything like this before for myself, but I find myself in desperation. I am currently on a prescription drug for my type 2 diabetes called Rybelsus. Many diabetes prescriptions require prior authorization from your physician, no generic versions, and very high costs. I have bounced around trying different prescriptions for years due to these issues all while my health failed to improve. Six months ago, I was put on Rybelsus which has done wonders for my health. I was able to get it at a reasonable cost due to a coupon from the manufacturer. This coupon has now changed with the start of 2023. I went to refill my prescription and was informed that even with having Blue Cross and Blue Shield along with the manufacturer coupon, my co-pay would be $1400 for a three month supply. I would love to maintain the healthy course that I am on and not change prescriptions. Thank you for reading my story and considering donating.",[]
"Hospital costs, prescription costs, utilities.","$400 raised of $1,500 goal","Recently I was admitted to the hospital for what I thought was pulmonary edema.  We found out it was elements of congestive heart failure.  My first visit to the hospital they admitted and kept me for a week.  They found blocked arteries,  34% heart pumping capacity,  76lbs of fluid in my chest cavity and legs and diagnosed me with diabetes type 2. During that stay they placed 5 stints in and around my heart to help the arteries that were blocked and found out that my heart was completely out of rhythm and in stroke territory.  Once I was released I was given a list of medications I need to make it through this.  I was able to get most of them except for one and have yet to be able to get it.  I was off work for another week and then put on light duty so missed out on a solid portion of my paycheck.  I went back for what I was told would be a simple in and out procedure but before the procedure they found a blood clot ready to do its thing to my heart.  They placed 4 MORE stints into me and realized they would not be able to shock my heart back into rhythm while the clot is still present.  They released me the second time and gave me an absolute shopping list of prescriptions that they require me to be on to get this handled which i absolutely cannot afford.  Rent is due, utilities are due and now I have to buy meds and pay my copays. I'm supposed to go back April 3rd to see how the clot is dissolving and need to be on these medications asap.  Any and all help will be immensely immensely appreciated and welcomed.  Even if you are unable to help please share my link around as I am in a bad way.  

Read more",[]
Help with medication cost and expense,"$410 raised of $3,000 goal",Hi my name is Chasity and I am fundraising to help cover the cost of some of my medications and some monthly bills and necessities for my family. I was recently diagnosed with Heart Failure and have been out of work since. Please keep me and my family in your prayers.,[]
Expensive Drugs,"$3,375 raised of $4,000 goal","As most of you know, I was diagnosed with Leukemia on December 17th, 2018. I am doing great, but as I get ready to be discharged I'm getting a punch in the face as to the costs of medications. Deductibles start over in January. My life saving medication is $4000 for 3 months. I only need the funds for 1 month because then I should hit that target deductible. I NEVER thought I would have to ask for money for myself. Everyone has been so generous and caring! I figured if those who can give just $5. We did take money out of our retirement for the initial cost, but it would amazing to put it back in. So, I'm not a beggar, but I'm begging. LOL...I CANNOT imagine those without insurance. I CANNOT imagine those without a loving family and friends. Most important, I CANNOT imagine a life without my savior Jesus Christ who can do all things!",[]
